iter	Passed	Remaining
0	16	8168
1	34	8475
2	46	7752
3	64	7976
4	78	7796
5	91	7527
6	103	7276
7	115	7076
8	127	6929
9	142	6991
10	160	7124
11	172	7025
12	186	6979
13	198	6887
14	212	6864
15	228	6910
16	241	6862
17	254	6814
18	268	6809
19	279	6716
20	294	6721
21	308	6700
22	319	6615
23	332	6590
24	350	6655
25	362	6613
26	376	6590
27	390	6582
28	402	6537
29	419	6578
30	431	6529
31	442	6476
32	458	6483
33	470	6446
34	483	6429
35	495	6381
36	511	6402
37	527	6418
38	542	6411
39	556	6401
40	569	6374
41	581	6343
42	598	6364
43	615	6375
44	625	6319
45	637	6289
46	650	6273
47	662	6241
48	675	6214
49	689	6202
50	699	6156
51	713	6148
52	725	6116
53	739	6106
54	750	6076
55	762	6048
56	777	6041
57	792	6040
58	805	6017
59	820	6017
60	833	5999
61	845	5973
62	858	5955
63	871	5939
64	885	5923
65	899	5914
66	912	5894
67	925	5878
68	947	5918
69	964	5927
70	991	5989
71	1012	6018
72	1029	6019
73	1043	6006
74	1058	5997
75	1074	5993
76	1088	5978
77	1100	5955
78	1113	5933
79	1124	5905
80	1139	5893
81	1150	5864
82	1162	5841
83	1174	5815
84	1189	5806
85	1203	5793
86	1215	5770
87	1229	5756
88	1243	5741
89	1255	5721
90	1267	5696
91	1281	5681
92	1294	5663
93	1309	5655
94	1323	5643
95	1336	5624
96	1347	5599
97	1361	5584
98	1376	5574
99	1388	5554
100	1401	5537
101	1416	5529
102	1430	5514
103	1442	5493
104	1454	5470
105	1466	5451
106	1480	5438
107	1496	5431
108	1513	5430
109	1526	5411
110	1538	5392
111	1551	5375
112	1567	5367
113	1583	5363
114	1595	5340
115	1607	5322
116	1619	5300
117	1630	5277
118	1646	5270
119	1659	5256
120	1675	5247
121	1687	5227
122	1698	5204
123	1710	5185
124	1725	5177
125	1738	5160
126	1751	5144
127	1763	5125
128	1776	5108
129	1789	5092
130	1802	5077
131	1814	5058
132	1828	5045
133	1845	5040
134	1861	5033
135	1874	5018
136	1887	5001
137	1900	4985
138	1916	4977
139	1930	4963
140	1946	4954
141	1955	4930
142	1969	4916
143	1982	4901
144	1994	4882
145	2010	4873
146	2023	4858
147	2035	4841
148	2050	4829
149	2063	4815
150	2078	4803
151	2090	4786
152	2106	4778
153	2118	4759
154	2128	4738
155	2140	4721
156	2152	4702
157	2167	4692
158	2181	4677
159	2195	4664
160	2209	4651
161	2225	4642
162	2240	4631
163	2252	4615
164	2266	4602
165	2280	4589
166	2295	4576
167	2308	4561
168	2326	4556
169	2340	4544
170	2353	4528
171	2368	4516
172	2383	4505
173	2398	4493
174	2412	4480
175	2428	4470
176	2439	4452
177	2457	4444
178	2470	4430
179	2486	4420
180	2501	4407
181	2515	4394
182	2527	4378
183	2537	4358
184	2548	4339
185	2562	4326
186	2578	4315
187	2592	4302
188	2603	4284
189	2619	4273
190	2631	4256
191	2642	4238
192	2653	4221
193	2669	4210
194	2684	4198
195	2697	4183
196	2711	4169
197	2725	4157
198	2741	4147
199	2754	4131
200	2768	4118
201	2783	4106
202	2797	4092
203	2810	4077
204	2824	4064
205	2837	4049
206	2852	4037
207	2866	4024
208	2882	4012
209	2900	4005
210	2911	3988
211	2925	3974
212	2939	3961
213	2954	3948
214	2967	3933
215	2987	3927
216	3011	3927
217	3037	3928
218	3062	3929
219	3083	3924
220	3097	3910
221	3112	3897
222	3126	3883
223	3141	3870
224	3158	3859
225	3174	3848
226	3188	3834
227	3201	3819
228	3227	3819
229	3242	3806
230	3256	3792
231	3274	3782
232	3289	3769
233	3303	3755
234	3318	3742
235	3333	3729
236	3349	3716
237	3361	3700
238	3377	3687
239	3389	3671
240	3406	3660
241	3423	3649
242	3437	3635
243	3447	3616
244	3459	3600
245	3471	3584
246	3492	3576
247	3508	3564
248	3524	3552
249	3540	3540
250	3557	3528
251	3569	3512
252	3582	3497
253	3596	3483
254	3610	3468
255	3620	3450
256	3638	3439
257	3659	3432
258	3670	3415
259	3715	3429
260	3765	3448
261	3779	3433
262	3794	3419
263	3808	3404
264	3822	3389
265	3837	3375
266	3850	3360
267	3863	3344
268	3882	3334
269	3893	3316
270	3907	3301
271	3922	3288
272	3935	3272
273	3949	3257
274	3964	3243
275	3977	3228
276	3990	3212
277	4006	3199
278	4024	3187
279	4036	3171
280	4054	3159
281	4066	3143
282	4080	3128
283	4097	3116
284	4114	3103
285	4131	3091
286	4146	3077
287	4177	3075
288	4197	3064
289	4219	3055
290	4246	3049
291	4270	3042
292	4293	3033
293	4309	3019
294	4326	3006
295	4346	2995
296	4360	2980
297	4373	2964
298	4403	2960
299	4426	2950
300	4441	2936
301	4452	2919
302	4473	2908
303	4489	2894
304	4509	2883
305	4533	2873
306	4550	2860
307	4569	2848
308	4585	2834
309	4601	2820
310	4615	2805
311	4628	2789
312	4656	2782
313	4685	2775
314	4701	2761
315	4716	2746
316	4729	2730
317	4742	2714
318	4759	2700
319	4774	2685
320	4787	2669
321	4798	2652
322	4812	2636
323	4825	2621
324	4850	2611
325	4863	2595
326	4876	2579
327	4887	2563
328	4902	2548
329	4924	2536
330	4939	2521
331	4956	2508
332	4969	2492
333	4987	2478
334	5000	2462
335	5014	2447
336	5025	2430
337	5042	2416
338	5059	2403
339	5088	2394
340	5114	2384
341	5131	2370
342	5143	2354
343	5156	2338
344	5171	2323
345	5184	2307
346	5198	2292
347	5251	2293
348	5266	2278
349	5278	2262
350	5292	2246
351	5308	2232
352	5323	2216
353	5339	2202
354	5360	2189
355	5377	2175
356	5390	2159
357	5410	2145
358	5424	2130
359	5437	2114
360	5452	2099
361	5467	2084
362	5481	2068
363	5496	2053
364	5511	2038
365	5526	2023
366	5544	2009
367	5557	1993
368	5568	1976
369	5586	1962
370	5599	1946
371	5611	1930
372	5639	1920
373	5655	1905
374	5670	1890
375	5683	1874
376	5695	1858
377	5707	1842
378	5725	1828
379	5739	1812
380	5758	1798
381	5773	1783
382	5787	1767
383	5800	1752
384	5815	1737
385	5830	1721
386	5842	1705
387	5855	1690
388	5868	1674
389	5882	1659
390	5895	1643
391	5910	1628
392	5926	1613
393	5939	1597
394	5951	1582
395	5966	1567
396	5977	1550
397	5992	1535
398	6008	1521
399	6024	1506
400	6041	1491
401	6051	1475
402	6062	1459
403	6074	1443
404	6088	1428
405	6108	1414
406	6131	1400
407	6170	1391
408	6190	1377
409	6204	1361
410	6229	1349
411	6251	1335
412	6269	1320
413	6286	1305
414	6299	1290
415	6314	1274
416	6326	1259
417	6339	1243
418	6353	1228
419	6366	1212
420	6380	1197
421	6394	1181
422	6409	1166
423	6426	1151
424	6440	1136
425	6458	1121
426	6475	1107
427	6487	1091
428	6500	1075
429	6514	1060
430	6530	1045
431	6546	1030
432	6557	1014
433	6567	998
434	6580	983
435	6594	968
436	6608	952
437	6623	937
438	6635	921
439	6650	906
440	6662	891
441	6674	875
442	6685	860
443	6699	845
444	6716	830
445	6728	814
446	6739	799
447	6749	783
448	6761	767
449	6773	752
450	6783	737
451	6796	721
452	6808	706
453	6820	691
454	6834	675
455	6846	660
456	6861	645
457	6873	630
458	6884	614
459	6898	599
460	6909	584
461	6920	569
462	6935	554
463	6947	539
464	6959	523
465	6971	508
466	6987	493
467	6997	478
468	7009	463
469	7024	448
470	7038	433
471	7052	418
472	7066	403
473	7080	388
474	7092	373
475	7108	358
476	7142	344
477	7167	329
478	7191	315
479	7211	300
480	7230	285
481	7248	270
482	7267	255
483	7286	240
484	7304	225
485	7320	210
486	7338	195
487	7353	180
488	7366	165
489	7381	150
490	7395	135
491	7412	120
492	7431	105
493	7492	90
494	7519	75
495	7535	60
496	7553	45
497	7568	30
498	7579	15
499	7592	0
